word,letters,count,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7
義理人情,"['義', '理', '人', '情']",4,義,理,人,情,,,
人口理論,"['人', '口', '理', '論']",4,人,口,理,論,,,
来日公演,"['来', '日', '公', '演']",4,来,日,公,演,,,
年中無休,"['年', '中', '無', '休']",4,年,中,無,休,,,
統一戦線,"['統', '一', '戦', '線']",4,統,一,戦,線,,,
行楽日和,"['行', '楽', '日', '和']",4,行,楽,日,和,,,
管理職,"['管', '理', '職']",3,管,理,職,,,,
無線局,"['無', '線', '局']",3,無,線,局,,,,
再来年,"['再', '来', '年']",3,再,来,年,,,,
当用日記,"['当', '用', '日', '記']",4,当,用,日,記,,,
食用作物,"['食', '用', '作', '物']",4,食,用,作,物,,,
利用厚生,"['利', '用', '厚', '生']",4,利,用,厚,生,,,
年代物,"['年', '代', '物']",3,年,代,物,,,,
一陽来復,"['一', '陽', '来', '復']",4,一,陽,来,復,,,
小休止,"['小', '休', '止']",3,小,休,止,,,,
公用語,"['公', '用', '語']",3,公,用,語,,,,
生年月日,"['生', '年', '月', '日']",4,生,年,月,日,,,
演歌歌手,"['演', '歌', '歌', '手']",4,演,歌,歌,手,,,
無駄口,"['無', '駄', '口']",3,無,駄,口,,,,
画用紙,"['画', '用', '紙']",3,画,用,紙,,,,
自作自演,"['自', '作', '自', '演']",4,自,作,自,演,,,
開口一番,"['開', '口', '一', '番']",4,開,口,一,番,,,
世話人,"['世', '話', '人']",3,世,話,人,,,,
前口上,"['前', '口', '上']",3,前,口,上,,,,
公地公民,"['公', '地', '公', '民']",4,公,地,公,民,,,
口外無用,"['口', '外', '無', '用']",4,口,外,無,用,,,
自信作,"['自', '信', '作']",3,自,信,作,,,,
人物画,"['人', '物', '画']",3,人,物,画,,,,
十年一日,"['十', '年', '一', '日']",4,十,年,一,日,,,
電話線,"['電', '話', '線']",3,電,話,線,,,,
映画館,"['映', '画', '館']",3,映,画,館,,,,
主題歌,"['主', '題', '歌']",3,主,題,歌,,,,
行儀作法,"['行', '儀', '作', '法']",4,行,儀,作,法,,,
浮動票,"['浮', '動', '票']",3,浮,動,票,,,,
会話文,"['会', '話', '文']",3,会,話,文,,,,
無計画,"['無', '計', '画']",3,無,計,画,,,,
閑話休題,"['閑', '話', '休', '題']",4,閑,話,休,題,,,
古生物,"['古', '生', '物']",3,古,生,物,,,,
非公式,"['非', '公', '式']",3,非,公,式,,,,
